"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.440700580E-1,4.050548673E-1,-2.127802968E-1,1.580539465E0,1.645433043E0
2.465540690E-1,4.284899831E-1,-2.330197245E-1,1.549647689E0,1.624595278E0
2.490576620E-1,4.561860561E-1,-2.500634491E-1,1.513429761E0,1.600345928E0
2.515416730E-1,4.806863964E-1,-2.671071887E-1,1.480407596E0,1.579244221E0
2.540256830E-1,5.071840882E-1,-2.926727831E-1,1.442059159E0,1.556415008E0
2.565096940E-1,5.327496529E-1,-3.203688264E-1,1.404776096E0,1.536181714E0
2.589937040E-1,5.604457259E-1,-3.480648994E-1,1.370688558E0,1.521195486E0
2.614777150E-1,5.828156471E-1,-3.789566457E-1,1.330209732E0,1.500913105E0
2.639617250E-1,6.062507629E-1,-4.054543078E-1,1.289730906E0,1.481667640E0
2.664447980E-1,6.243597269E-1,-4.299546778E-1,1.249252081E0,1.461272341E0
2.688913080E-1,6.382077336E-1,-4.523245692E-1,1.206642747E0,1.438017158E0
2.713743810E-1,6.541862488E-1,-4.768249393E-1,1.161902905E0,1.416100290E0
2.738574540E-1,6.637732983E-1,-4.949339032E-1,1.121424079E0,1.393967907E0
2.763405270E-1,6.701647043E-1,-5.077167153E-1,1.077749491E0,1.366909272E0
2.788236000E-1,6.776213646E-1,-5.258256793E-1,1.040466309E0,1.348418888E0
2.813066730E-1,6.829475164E-1,-5.354127288E-1,1.004381537E0,1.327353146E0
2.837897460E-1,6.872084737E-1,-5.535216928E-1,9.702941179E-1,1.311530566E0
2.863013600E-1,6.893389225E-1,-5.577826500E-1,9.394024014E-1,1.291815198E0
2.888129230E-1,6.882736683E-1,-5.641740561E-1,9.117063284E-1,1.274057078E0
2.912974020E-1,6.882736683E-1,-5.684349537E-1,8.840102553E-1,1.256309305E0
2.937819330E-1,6.872084737E-1,-5.545869470E-1,8.616403341E-1,1.233793432E0
2.962664650E-1,6.850779653E-1,-5.428693891E-1,8.382052183E-1,1.211043756E0
2.987509440E-1,6.850779653E-1,-5.311518312E-1,8.179658055E-1,1.191856596E0
3.012354750E-1,6.786866188E-1,-5.215647221E-1,7.977263927E-1,1.170048154E0
3.037199540E-1,6.733604074E-1,-5.162385702E-1,7.774869800E-1,1.150826878E0
3.062039120E-1,6.669690013E-1,-5.162385702E-1,7.583127618E-1,1.134190528E0
3.086660480E-1,6.573819518E-1,-5.151733160E-1,7.380733490E-1,1.114588195E0
3.111500060E-1,6.467295885E-1,-5.279561281E-1,7.188991308E-1,1.101731725E0
3.136339650E-1,6.371424794E-1,-5.386084318E-1,6.986597180E-1,1.088198044E0
3.161179230E-1,6.222292185E-1,-5.609783530E-1,6.816160083E-1,1.080030692E0
3.186018290E-1,6.094464660E-1,-5.801525116E-1,6.592460871E-1,1.068928124E0
3.210857870E-1,5.934679508E-1,-6.067833900E-1,6.453980803E-1,1.066268715E0
3.235697460E-1,5.753589869E-1,-6.291532516E-1,6.262238622E-1,1.057841247E0
3.260534440E-1,5.529890656E-1,-6.472622156E-1,6.102453470E-1,1.047446737E0
3.285279750E-1,5.263582468E-1,-6.589797735E-1,5.942668915E-1,1.031726943E0
3.310116730E-1,4.987953603E-1,-6.696321368E-1,5.836145282E-1,1.018729566E0
3.334953710E-1,4.668383598E-1,-6.792191863E-1,5.729622245E-1,1.003774112E0
3.359790690E-1,4.391423166E-1,-6.845453978E-1,5.623098612E-1,9.887571774E-1
3.384627670E-1,4.093157947E-1,-6.792191863E-1,5.601794124E-1,9.709166272E-1
3.409464650E-1,3.816197217E-1,-6.781539917E-1,5.591141582E-1,9.581936601E-1
3.434301620E-1,3.507279754E-1,-6.717625856E-1,5.655055642E-1,9.455536089E-1
3.459142770E-1,3.230319023E-1,-6.621754766E-1,5.825493336E-1,9.392495396E-1
3.484134440E-1,3.027924895E-1,-6.419360638E-1,5.974625945E-1,9.277536060E-1
3.508975580E-1,2.750964165E-1,-6.280879974E-1,6.198324561E-1,9.243185839E-1
3.533816210E-1,2.495308369E-1,-6.035876870E-1,6.475285292E-1,9.197156792E-1
3.558657350E-1,2.229000032E-1,-5.790873170E-1,6.730940938E-1,9.154682907E-1
3.583498500E-1,1.973344237E-1,-5.545869470E-1,7.029206157E-1,9.168451060E-1
3.608339650E-1,1.728340536E-1,-5.322170258E-1,7.338123918E-1,9.228256601E-1
3.633180270E-1,1.504641622E-1,-5.162385702E-1,7.668346167E-1,9.365773085E-1
3.658017770E-1,1.312899739E-1,-4.991948307E-1,8.051829934E-1,9.564267819E-1
3.682718290E-1,1.185071766E-1,-4.864120185E-1,8.445966244E-1,9.818268995E-1
3.707555790E-1,1.057243794E-1,-4.874772727E-1,8.829450011E-1,1.014102367E0
3.732393290E-1,9.507204592E-2,-4.896077216E-1,9.266195893E-1,1.052320426E0
3.757230790E-1,9.081111848E-2,-4.981296062E-1,9.692289233E-1,1.093519305E0
3.782067770E-1,8.974587917E-2,-5.162385702E-1,1.010772943E0,1.138515932E0
3.806905270E-1,8.761541545E-2,-5.375432372E-1,1.052183867E0,1.184786935E0
3.831742770E-1,8.655018359E-2,-5.620435476E-1,1.088401794E0,1.228007471E0
3.856583400E-1,8.761541545E-2,-5.993267298E-1,1.125684977E0,1.278294042E0
3.881552150E-1,8.974587917E-2,-6.344794035E-1,1.160837650E0,1.325957196E0
3.906392770E-1,8.868064731E-2,-6.738930345E-1,1.190664172E0,1.371013220E0
3.931233400E-1,8.868064731E-2,-7.175676227E-1,1.223686457E0,1.421328989E0
3.956074020E-1,8.655018359E-2,-7.612421513E-1,1.249252081E0,1.465473067E0
3.980914650E-1,8.548495173E-2,-8.027862310E-1,1.273752332E0,1.508051197E0
4.005755270E-1,8.335448056E-2,-8.421998620E-1,1.297187567E0,1.548852530E0
4.030596420E-1,7.802832127E-2,-8.837439418E-1,1.315296531E0,1.586536081E0
4.055443290E-1,7.696308941E-2,-9.135704637E-1,1.330209732E0,1.615547041E0
4.080522460E-1,7.376738638E-2,-9.487231374E-1,1.341927290E0,1.645079351E0
4.105369330E-1,6.844121963E-2,-9.732235074E-1,1.354710102E0,1.669457294E0
4.130216210E-1,6.204982474E-2,-9.966586232E-1,1.361101508E0,1.688127930E0
4.155063080E-1,5.565842614E-2,-1.013569236E0,1.366427660E0,1.702217673E0
4.179909960E-1,4.500609636E-2,-1.026352048E0,1.370688558E0,1.712953939E0
4.204756830E-1,3.009283356E-2,-1.027417302E0,1.370688558E0,1.713265599E0
4.229603710E-1,1.198387146E-2,-1.025286794E0,1.368558168E0,1.710060842E0
4.254441730E-1,-1.038602181E-2,-1.011438727E0,1.361101508E0,1.695792878E0
4.278939120E-1,-3.382114694E-2,-9.870715737E-1,1.352579594E0,1.674791246E0
4.303776620E-1,-5.938674137E-2,-9.604407549E-1,1.340862036E0,1.650419410E0
4.328614650E-1,-8.175663650E-2,-9.284837246E-1,1.323818326E0,1.619030925E0
4.353452670E-1,-9.986559302E-2,-8.848091960E-1,1.306774616E0,1.581303370E0
4.378290690E-1,-1.103847697E-1,-8.443303108E-1,1.286535144E0,1.542806257E0
4.403128710E-1,-1.157109365E-1,-7.931991220E-1,1.263100028E0,1.495986480E0
4.427966730E-1,-1.093195379E-1,-7.527202964E-1,1.238599658E0,1.453501881E0
4.452808920E-1,-1.062569916E-1,-6.888062954E-1,1.207707882E0,1.394382655E0
4.477814650E-1,-1.167761683E-1,-5.876091719E-1,1.176816225E0,1.320536876E0
4.502656830E-1,-1.348851323E-1,-4.427374899E-1,1.151250601E0,1.240801527E0
4.527499020E-1,-1.679073572E-1,-2.671071887E-1,1.126750231E0,1.170087695E0
4.552341210E-1,-2.009295821E-1,-1.009308323E-1,1.111836910E0,1.134346087E0
4.577183400E-1,-2.190385461E-1,2.396774245E-3,1.096923709E0,1.118581804E0
4.602025580E-1,-2.243647128E-1,4.820179567E-2,1.086271405E0,1.110247046E0
4.626867770E-1,-2.286256403E-1,5.139749497E-2,1.071358085E0,1.096685703E0
4.651709960E-1,-2.360822707E-1,5.246272683E-2,1.059640527E0,1.086887861E0
4.676555790E-1,-2.563216984E-1,5.565842614E-2,1.050053477E0,1.082317411E0
4.701397980E-1,-2.829525173E-1,7.696308941E-2,1.043662071E0,1.084073781E0
4.726240170E-1,-3.138442934E-1,9.933298081E-2,1.041531563E0,1.092315558E0
4.751082870E-1,-3.447360396E-1,1.099853069E-1,1.043662071E0,1.104613156E0
4.775925060E-1,-3.713668585E-1,9.613727778E-2,1.045792580E0,1.113929010E0
4.800767250E-1,-3.958672285E-1,6.418029219E-2,1.048988223E0,1.123034400E0
4.825609440E-1,-4.097152650E-1,-6.125089712E-3,1.050053477E0,1.127171868E0
4.850456310E-1,-4.171718955E-1,-9.027849883E-2,1.053249121E0,1.136448991E0
4.875479230E-1,-4.182371199E-1,-1.818885356E-1,1.051118731E0,1.145799422E0
4.900326100E-1,-4.182371199E-1,-2.649767101E-1,1.048988223E0,1.159961740E0
4.925172980E-1,-4.193023443E-1,-3.406082690E-1,1.051118731E0,1.181811760E0
4.950019850E-1,-4.171718955E-1,-4.001281559E-1,1.057510138E0,1.205181572E0
4.974866210E-1,-4.139761925E-1,-4.587159753E-1,1.071358085E0,1.236771919E0
4.999713080E-1,-4.065195620E-1,-5.109124184E-1,1.080945253E0,1.262827104E0
5.024559960E-1,-3.979976773E-1,-5.663045049E-1,1.099054217E0,1.298854540E0
5.049402670E-1,-3.926715255E-1,-6.121095419E-1,1.117163181E0,1.333012600E0
5.074092770E-1,-3.820191920E-1,-6.536536217E-1,1.135272145E0,1.364567537E0
5.098935480E-1,-3.820191920E-1,-6.888062954E-1,1.151250601E0,1.394908858E0
5.123778190E-1,-3.862801194E-1,-7.218285203E-1,1.171490073E0,1.429208779E0
5.148620900E-1,-3.948020041E-1,-7.452636361E-1,1.189599037E0,1.458229193E0
5.173464120E-1,-4.161066413E-1,-7.697640061E-1,1.206642747E0,1.490526109E0
5.198306830E-1,-4.438027143E-1,-7.921339273E-1,1.225816846E0,1.525471713E0
5.223149540E-1,-4.842815697E-1,-8.059819341E-1,1.242860675E0,1.558473026E0
5.247993290E-1,-5.322170258E-1,-8.198299408E-1,1.257773876E0,1.592912809E0
5.272873500E-1,-5.876091719E-1,-8.390041590E-1,1.270556688E0,1.632031500E0
5.297717250E-1,-6.461969614E-1,-8.571131229E-1,1.282274246E0,1.672256159E0
5.322561000E-1,-7.090457082E-1,-8.720263839E-1,1.290796161E0,1.711528720E0
5.347404750E-1,-7.685656548E-1,-8.901353478E-1,1.307839870E0,1.758828937E0
5.372248500E-1,-8.196967840E-1,-9.210271239E-1,1.322753072E0,1.808278040E0
5.397092770E-1,-8.665670753E-1,-9.604407549E-1,1.346188188E0,1.866978194E0
5.421936520E-1,-9.049154520E-1,-9.977238774E-1,1.363232017E0,1.916435869E0
5.446781830E-1,-9.432638288E-1,-1.042330503E0,1.387732267E0,1.975348166E0
5.471679750E-1,-9.741556048E-1,-1.086005092E0,1.419689298E0,2.035658101E0
